Time (seconds),strength
0.89,1040
0.99,1065
1.10,1056
1.20,1050
1.30,1044
1.41,1038
1.51,1034
1.62,1036
1.72,1068
1.82,1014
1.93,1028
2.03,1015
2.14,1010
2.24,1026
2.34,1051
2.45,1029
2.55,1026
2.66,1036
2.76,1034
2.86,1040
2.97,1041
3.07,1030
3.18,1032
3.28,1030
3.40,1018
3.51,1020
3.61,1036
3.72,1030
3.82,1026
3.92,1034
4.03,1026
4.13,1027
4.24,1036
4.34,999
4.44,1022
4.55,1054
4.65,1032
4.76,1030
4.86,1032
4.96,1034
5.07,1034
5.17,982
5.28,1027
5.38,1027
5.48,1030
5.59,1050
5.69,1034
5.80,1030
5.90,1039
6.01,1048
6.13,1047
6.23,1056
6.33,1034
6.44,1035
6.54,1030
6.64,1018
6.75,1017
6.85,1035
6.96,1027
7.06,1035
7.16,1037
7.27,1034
7.37,1033
7.48,1022
7.58,1030
7.68,1026
7.79,1025
7.89,1025
8.00,1013
8.10,1010
8.20,1030
8.31,1042
8.41,1035
8.52,1034
8.62,1036
8.74,1021
8.85,1039
8.95,1054
9.06,1032
9.16,1050
9.26,1036
9.37,1034
9.47,1027
9.58,1033
9.68,1024
9.78,1035
9.89,1030
9.99,1025
10.10,1017
10.20,1040
10.30,1030
10.41,539
10.51,1268
10.62,1116
10.72,948
10.82,1035
10.93,1208
11.03,1040
11.14,1021
11.24,1020
11.36,1078
11.47,1315
11.57,2079
11.68,1043
11.78,941
11.88,1040
11.99,1044
12.09,860
12.20,1121
12.30,1201
12.40,877
12.51,1025
12.61,1113
12.72,1136
1.18,1120
1.28,1075
1.39,1088
1.49,890
1.61,1034
1.71,1009
1.82,1109
1.92,938
2.03,1093
2.13,1076
2.25,874
2.36,2094
2.46,1233
2.57,1133
2.67,1081
2.77,1549
2.88,889
2.98,870
3.09,1504
3.19,973
3.29,1089
3.40,690
3.50,1251
3.61,918
3.80,983
3.90,958
4.09,1648
4.19,1074
4.38,1044
4.49,1018
4.73,1011
4.84,1277
5.03,978
5.13,900
5.32,480
5.42,571
5.53,2018
5.65,974
5.75,1450
5.94,346
6.05,616
6.23,1783
6.34,1515
6.57,1539
6.67,1320
6.86,1981
6.96,2972
7.15,2108
7.25,703
7.36,872
7.46,935
7.57,2533
7.67,3048
7.77,2885
7.88,1643
7.98,1521
8.19,2899
8.30,2936
8.40,2885
8.51,1989
8.61,1117
8.71,873
8.82,850
8.92,2668
9.05,2515
9.31,1054
9.54,1763
9.64,1248
9.75,2421
9.85,2824
9.95,1908
10.06,783
10.16,903
10.27,1382
10.37,2897
10.55,2513
10.66,2320
10.76,1507
10.87,2286
10.97,2924
11.07,2462
11.18,2088
11.28,1060
11.39,1619
11.57,2607
11.68,1295
11.87,2885
11.97,2927
12.18,1046
12.37,2659
12.47,2760
12.66,1739
12.76,2370
13.02,1490
13.24,1153
13.35,2887
13.53,2025
13.64,1116
13.83,2706
13.93,2903
14.20,1554
14.42,3046
14.53,2739
14.71,1562
14.82,2137
15.01,2888
15.11,2885
15.36,2160
15.46,2896
15.65,2778
15.75,2250
15.96,2139
16.15,2925
16.25,2665
16.50,1269
16.60,1901
16.79,2887
16.89,2493
17.08,2122
17.19,2407
17.29,2888
17.39,2901
17.50,1351
17.60,1082
17.71,980
17.81,2267
17.91,2914
18.10,1553
18.21,2378
18.31,2410
18.41,2894
18.52,2689
18.62,1246
18.73,1167
18.85,2190
18.95,2967
19.14,1755
19.25,1599
19.35,2496
19.45,2834
19.56,2893
19.66,1618
19.77,955
19.87,884
19.97,2291
20.16,2100
20.27,1648
20.45,2153
20.56,2461
20.75,2136
20.85,757
21.10,2472
21.20,2909
21.39,1292
21.49,1247
21.68,2389
21.79,2885
21.89,1168
22.01,610
22.12,764
22.31,2890
22.41,2376
22.69,1692
22.93,2900
23.03,1342
23.22,1556
23.33,2346
23.51,2362
23.62,1032
23.85,2098
23.95,2528
24.14,1478
24.24,896
24.52,2897
24.76,1186
24.87,1140
25.05,1733
25.16,2788
25.35,2009
25.45,1210
25.70,2885
25.81,2898
26.01,1077
26.11,1381
26.30,2568
26.40,2932
26.63,956
26.74,1775
26.93,2893
27.03,3533
27.22,1241
27.32,2070
27.57,3152
27.67,2904
27.86,1177
27.97,1152
28.26,2447
28.37,1649
28.55,1788
28.66,2154
28.95,2469
29.06,1117
29.25,1437
29.35,2909
29.45,3396
29.58,1845
29.68,720
29.87,1962
29.97,2245
30.16,2054
30.27,634
30.45,843
30.56,2682
30.79,1040
30.89,1014
31.08,1958
31.18,2611
31.37,837
31.47,716
31.72,2102
31.83,1140
32.01,838
32.12,2373
32.31,2887
32.41,2768
32.64,1599
32.74,2050
32.93,2860
33.03,1692
33.24,1413
33.43,2945
33.53,2753
33.72,2465
33.83,2189
34.06,3443
34.17,2450
34.35,1191
34.46,1238
34.65,2764
34.75,1945
34.98,3045
35.08,2571
35.27,2562
35.37,1529
35.48,1115
35.58,1073
35.69,2783
35.79,2945
35.89,1615
36.00,969
36.10,1624
36.26,2584
36.38,2885
36.49,1696
36.67,730
36.78,1332
37.05,1993
37.30,1119
37.40,1946
37.59,2756
37.69,1634
37.88,838
37.99,1637
38.25,2520
38.50,3191
38.72,3129
38.83,2940
39.01,2202
39.12,2599
39.31,2864
39.41,3065
39.68,2108
39.92,2422
40.11,3035
40.21,2354
40.61,2121
40.73,2977
40.83,3076
41.02,1815
41.12,2387
41.33,2437
41.43,2519
41.62,1708
41.72,1211
41.91,2315
42.01,2922
42.26,1481
42.37,1518
42.55,2881
42.66,2929
42.85,2725
42.95,1199
43.05,1183
43.16,1252
43.26,3036
43.37,3508
43.47,3028
43.57,1745
43.68,1452
43.85,2639
44.13,2799
44.36,1162
44.46,1227
44.65,3157
44.75,2689
44.94,1756
45.05,1826
45.29,3123
45.40,2250
45.59,915
45.69,970
45.88,3025
45.98,3088
46.23,1686
46.33,1514
46.52,2904
46.63,2933
46.81,1447
46.92,1187
47.10,3025
47.21,2751
47.41,1194
47.53,1304
47.64,2455
47.81,2917
47.92,2097
48.12,1272
48.23,1889
48.41,3206
48.52,2383
48.71,1143
48.81,1339
49.00,2851
49.10,2931
49.29,1200
49.39,917
49.58,2942
49.69,2318
49.87,1371
49.98,1126
50.22,2710
50.32,2069
50.51,1318
50.61,989
50.80,1179
50.91,2989
51.11,3061
51.36,1412
51.60,2895
51.83,1758
51.93,732
52.12,1908
52.22,2889
52.41,1201
52.51,1162
52.76,2588
52.87,2734
53.05,729
53.16,548
53.35,2702
53.45,2983
53.64,1749
53.74,1484
53.93,2452
54.03,3043
54.14,2937
54.24,2676
54.35,795
54.45,474
54.57,900
54.84,2982
55.03,1367
55.13,2061
55.32,2456
55.42,1894
55.61,805
55.71,1046
55.90,2920
56.01,2782
56.24,1140
56.35,1912
56.53,2930
56.64,2532
56.83,1226
56.93,873
57.18,3126
57.28,2369
57.47,1636
57.57,1293
57.76,2738
57.87,3195
58.05,1618
58.16,1004
58.37,2837
58.58,3086
58.69,2369
58.87,1734
58.98,2798
59.17,3182
59.27,2964
59.46,1338
59.56,1323
59.75,3011
59.85,3483
60.04,1602
60.15,2386
60.33,2920
60.44,3109
60.63,1976
60.73,1267
60.96,2885
61.07,2986
61.25,2263
61.36,1047
61.55,2658
61.65,2887
61.90,2106
62.12,1242
62.23,2491
62.41,2887
62.52,2687
62.71,2059
62.81,1856
63.06,2895
63.16,2812
63.35,1411
63.45,1051
63.64,2914
63.75,2885
63.99,1893
64.10,1691
64.29,3238
64.39,3077
64.58,1449
64.68,1177
64.93,2928
65.03,2982
65.22,2204
65.33,1922
65.52,3149
65.63,2960
65.74,2585
65.93,1036
66.03,937
66.22,2992
66.32,2775
66.51,2084
66.61,1694
66.80,2829
66.90,3179
67.11,1413
67.21,1534
67.40,2905
67.50,3402
67.69,2499
67.79,1846
67.98,2469
68.09,3013
68.27,2900
68.38,1493
68.57,1624
68.67,2917
68.94,2076
69.15,1601
69.32,3097
69.43,3049
69.65,1220
69.75,868
69.94,2885
70.05,2062
70.23,1630
70.34,1078
70.57,2928
70.67,2912
70.86,1087
70.96,977
71.15,2348
71.25,2902
71.44,2894
71.55,3297
71.73,2687
71.84,3524
72.03,2600
72.13,3005
72.32,2534
72.42,2223
72.63,2965
72.80,1538
72.91,2818
73.13,2994
73.23,2990
73.42,2201
73.53,2960
73.71,2458
73.82,3000
74.07,2403
74.17,1872
74.36,2914
74.46,2328
74.65,1610
74.75,2423
74.98,2867
75.09,1778
75.27,1488
75.38,2895
75.48,2976
75.59,1871
75.69,1292
75.79,1168
75.90,1876
76.02,2690
76.13,2974
76.35,780
76.45,883
76.64,2895
76.74,3310
76.93,1545
77.03,1452
77.28,2751
77.39,2888
77.57,1237
77.68,798
77.87,1403
77.97,2895
78.07,2678
78.18,1948
78.28,1377
78.39,1371
78.49,1806
78.59,2638
78.70,2894
78.89,1089
78.99,743
79.20,2580
79.39,2975
79.49,1832
79.68,1553
79.79,2484
79.97,2932
80.08,1872
80.33,1350
80.52,2884
80.63,3146
80.82,1465
80.93,1857
81.11,2797
81.22,3077
81.41,1430
81.51,1165
81.76,2938
81.86,3004
82.05,1627
82.15,1470
82.34,1437
82.45,3039
82.63,3394
82.74,2867
82.97,3196
83.07,2944
83.26,2536
83.37,2471
83.55,2452
83.66,3072
83.83,2262
83.93,1821
84.12,2802
84.23,2284
84.41,1220
84.52,1455
84.71,2551
84.81,2308
84.99,938
85.09,1586
85.32,2887
85.42,2692
85.61,1233
85.71,1721
85.90,2888
86.01,2885
86.23,1086
86.36,1002
86.46,2889
86.64,2954
86.74,1995
86.97,1117
87.07,2610
87.26,2958
87.36,2382
87.55,1501
87.65,1182
87.84,2917
87.94,2541
88.17,1368
88.27,1356
88.46,2911
88.56,2931
88.75,1095
88.85,736
89.12,2906
89.35,1845
89.45,1122
89.64,1516
89.74,2959
89.95,2574
90.14,739
90.24,1007
90.43,2910
90.53,2640
90.71,1977
90.81,1520
91.03,2311
91.14,2329
91.33,2360
91.43,2117
91.62,1017
91.72,1078
91.91,2602
92.01,2224
92.21,678
92.32,890
92.51,2427
92.61,1732
92.80,1191
92.90,1041
93.15,1435
93.25,1438
93.44,765
93.57,1031
93.67,1121
93.86,1344
93.96,1395
94.15,1037
94.25,1363
94.44,885
94.55,1076
94.76,1290
94.86,1092
95.05,1020
95.15,1119
95.34,1049
95.45,1035
95.67,936
95.78,1174
95.97,903
96.07,1113
96.26,1246
96.36,974
96.63,1082
96.85,1062
96.96,1057
97.44,1055
97.64,1041
97.75,1057
97.85,1046
97.95,1058
98.14,1051
98.25,1057
98.42,1053
98.52,1039
98.73,1051
98.83,1044
99.02,1054
99.12,1054
99.31,1062
99.41,1040
99.60,1049
99.70,1068
99.91,1055
100.01,1029
100.20,1055
100.30,1050
100.49,1048
100.59,1038
100.78,1049
100.97,1051
101.07,1051
101.31,1045
101.41,1044
101.60,1159
101.71,1649
101.89,1245
102.00,433
102.25,1357
102.35,2042
102.54,1519
102.64,1205
102.83,1969
102.93,1982
103.18,729
103.29,814
103.47,1721
103.58,1900
103.77,1159
103.87,1405
104.05,1885
104.18,1572
104.28,806
104.47,1034
104.57,1549
104.75,1731
104.85,1244
105.04,1623
105.14,2096
105.33,1618
105.43,828
105.62,1271
105.73,1933
105.91,1523
106.02,1202
106.25,1743
106.36,1673
106.55,921
106.65,872
106.84,1529
106.94,1688
107.19,1251
107.29,1385
107.50,2269
107.69,834
107.79,959
107.98,2000
108.09,2219
108.27,1622
108.38,1848
108.61,1641
108.72,959
108.91,746
109.01,1410
109.20,1819
109.30,1938
109.49,2084
109.59,2382
109.81,748
109.92,638
110.11,1720
110.21,2810
110.40,1475
110.50,1232
110.79,2370
110.99,1239
111.10,660
111.29,1492
111.39,2344
111.58,1406
111.68,1372
111.95,2199
112.19,1043
112.38,729
112.49,1415
112.67,2018
112.78,1346
112.97,1211
113.07,1398
113.26,1668
113.36,1222
113.53,766
113.64,1127
113.84,1709
113.95,1448
114.13,1193
114.26,1452
114.36,1561
114.55,934
114.66,756
114.85,1363
114.95,1550
115.14,1293
115.24,1057
115.51,1505
115.75,960
115.94,1423
116.05,1775
116.23,1156
116.34,1235
116.53,1473
116.63,1565
116.82,999
116.92,833
117.11,1299
117.21,1611
117.42,1171
117.53,1234
117.73,1454
117.92,1333
118.03,951
118.21,953
